[2024-03-10 22:05:12,285][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 3
[2024-03-10 22:05:12,285][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 1
[2024-03-10 22:05:12,479][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 4
[2024-03-10 22:05:12,480][torch.distributed.distributed_c10d][INFO] - Rank 4: Completed store-based barrier for key:store_based_barrier_key:1 with 7 nodes.
[2024-03-10 22:05:12,484][torch.distributed.distributed_c10d][INFO] - Rank 6: Completed store-based barrier for key:store_based_barrier_key:1 with 7 nodes.
[2024-03-10 22:05:12,484][torch.distributed.distributed_c10d][INFO] - Rank 5: Completed store-based barrier for key:store_based_barrier_key:1 with 7 nodes.
[2024-03-10 22:05:12,486][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 7 nodes.
[2024-03-10 22:05:12,486][torch.distributed.distributed_c10d][INFO] - Rank 2: Completed store-based barrier for key:store_based_barrier_key:1 with 7 nodes.
[2024-03-10 22:05:12,488][torch.distributed.distributed_c10d][INFO] - Rank 3: Completed store-based barrier for key:store_based_barrier_key:1 with 7 nodes.
[2024-03-10 22:05:12,489][torch.distributed.distributed_c10d][INFO] - Rank 1: Completed store-based barrier for key:store_based_barrier_key:1 with 7 nodes.
[2024-03-10 22:06:30,893][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmp4bslmjcf
[2024-03-10 22:06:30,894][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmp4bslmjcf/_remote_module_non_scriptable.py
[2024-03-10 22:06:38,926][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 0
[2024-03-10 22:06:38,926][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 1 nodes.
[2024-03-10 22:07:10,183][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpocyx4jxb
